year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,12,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",90.00,29.00,15.33,0.09,5.65,0.00,7.93,3.00,0.00,2003.00,1024.00,12.00,192.00,0.00,775.00
2025,12,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",44.00,14.00,5.89,1.80,0.19,0.00,6.12,0.00,0.00,1223.00,491.00,136.00,13.00,0.00,583.00
2025,12,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",81.00,26.00,7.35,0.73,3.09,0.00,14.83,0.00,0.00,2162.00,588.00,33.00,205.00,0.00,1336.00
2025,12,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",76.00,15.00,10.14,0.10,1.66,0.00,3.10,1.00,1.00,1695.00,975.00,20.00,272.00,0.00,428.00
2025,12,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",56.00,24.00,5.17,1.00,4.39,0.00,13.44,4.00,0.00,2871.00,1397.00,21.00,212.00,0.00,1241.00
2025,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3217.00,757.00,134.91,20.91,108.23,0.02,492.93,49.00,8.00,78310.00,18314.00,6127.00,6850.00,1.00,47018.00
2025,12,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",90.00,15.00,1.04,1.21,9.99,0.00,2.76,1.00,0.00,627.00,40.00,71.00,407.00,0.00,109.00
2025,12,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",125.00,38.00,13.26,1.00,6.34,0.00,17.41,2.00,0.00,2766.00,999.00,61.00,364.00,0.00,1342.00
2025,12,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",16.00,6.00,3.50,0.00,1.50,0.00,1.00,1.00,0.00,683.00,451.00,0.00,147.00,0.00,85.00
2025,12,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",11.00,5.00,1.80,0.31,0.86,0.00,2.03,1.00,0.00,548.00,164.00,63.00,145.00,0.00,176.00
2025,12,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",98.00,29.00,6.75,0.00,5.90,0.00,16.35,9.00,1.00,2684.00,376.00,0.00,896.00,0.00,1412.00
